fid,BNA80,STATE80,COUNTY80,GISJOIN,GISJOIN2,NHGISST,NHGISCTY,SHAPE_AREA,SHAPE_LEN,JOIN_KEY,GEOID,STATEFP,COUNTYFP,WHITE,BLACK,TOTPOP,POC
235,,,,G17003106118,"17003106118","170","0310",326798.33402,2430.12020873,G17003106118,"17003106118","17","031",1331,557,3620,2289
244,,,,G17003107502,"17003107502","170","0310",1332876.32349,5296.57408837,G17003107502,"17003107502","17","031",2306,1573,3967,1661
245,,,,G17003107504,"17003107504","170","0310",994017.420434,4966.39786728,G17003107504,"17003107504","17","031",3298,7,3371,73
246,,,,G17003104913,"17003104913","170","0310",655083.309192,3247.90759103,G17003104913,"17003104913","17","031",126,4472,4721,4595
247,,,,G17003104914,"17003104914","170","0310",847203.288008,3727.41235448,G17003104914,"17003104914","17","031",227,4408,4816,4589
248,,,,G17003107505,"17003107505","170","0310",2618731.28884,7371.88812703,G17003107505,"17003107505","17","031",2352,4831,7304,4952
249,,,,G17003105304,"17003105304","170","0310",1333375.65863,4884.67609785,G17003105304,"17003105304","17","031",311,2237,2740,2429
250,,,,G17003108212,"17003108212","170","0310",2961938.74557,8266.82801524,G17003108212,"17003108212","17","031",4665,374,6480,1815
251,,,,G17003108235,"17003108235","170","0310",1105058.33515,6170.96768773,G17003108235,"17003108235","17","031",4051,1,4343,292
254,,,,G17003105305,"17003105305","170","0310",3784812.48399,8458.92776459,G17003105305,"17003105305","17","031",647,17209,18125,17478
255,,,,G17003108234,"17003108234","170","0310",5311884.63031,10869.459534,G17003108234,"17003108234","17","031",3826,0,4280,454
256,,,,G17003108213,"17003108213","170","0310",1874491.03929,6977.74950445,G17003108213,"17003108213","17","031",4355,8,5092,737
259,,,,G17003108266,"17003108266","170","0310",1511579.75965,5250.35425921,G17003108266,"17003108266","17","031",5068,4,5196,128
261,,,,G17003108265,"17003108265","170","0310",3533738.48794,9606.29027511,G17003108265,"17003108265","17","031",6132,26,6321,189
262,,,,G1700310826401,"1700310826401","170","0310",3221028.41739,9424.77244139,G1700310826401,"1700310826401","17","031",3867,30,4130,263
270,,,,G17003104804,"17003104804","170","0310",1794104.55002,5465.58510009,G17003104804,"17003104804","17","031",391,7901,8657,8266
271,,,,G17003106305,"17003106305","170","0310",657730.529045,3257.03257441,G17003106305,"17003106305","17","031",3286,2,3828,542
272,,,,G17003104902,"17003104902","170","0310",668209.129427,3281.12501065,G17003104902,"17003104902","17","031",4,4021,4059,4055
273,,,,G17003104904,"17003104904","170","0310",233540.044453,2433.58534658,G17003104904,"17003104904","17","031",8,1239,1252,1244
274,,,,G17003108218,"17003108218","170","0310",2152211.77324,6580.09350782,G17003108218,"17003108218","17","031",5770,5,5900,130
290,,,,G17003104111,"17003104111","170","0310",288541.535986,3173.34824428,G17003104111,"17003104111","17","031",2080,144,2451,371
291,,,,G17003104005,"17003104005","170","0310",331662.794027,2466.92848206,G17003104005,"17003104005","17","031",6,3534,3560,3554
292,,,,G17003106803,"17003106803","170","0310",334672.903599,2460.2745155,G17003106803,"17003106803","17","031",7,2172,2205,2198
293,,,,G17003106701,"17003106701","170","0310",326174.194527,2449.00679697,G17003106701,"17003106701","17","031",21,2700,2782,2761
295,,,,G17003107501,"17003107501","170","0310",1276430.19974,4784.80190779,G17003107501,"17003107501","17","031",39,6225,6323,6284
297,,,,G17003108214,"17003108214","170","0310",2658154.53614,7382.88866964,G17003108214,"17003108214","17","031",4298,2408,7420,3122
298,,,,G17003104911,"17003104911","170","0310",1288314.84241,4871.7871734,G17003104911,"17003104911","17","031",120,6688,6857,6737
299,,,,G17003104910,"17003104910","170","0310",1304781.45533,4864.87787421,G17003104910,"17003104910","17","031",122,8720,8972,8850
300,,,,G17003106117,"17003106117","170","0310",323560.425175,2404.81680938,G17003106117,"17003106117","17","031",1607,156,3585,1978
312,,,,G17003105904,"17003105904","170","0310",301621.996727,3220.95669681,G17003105904,"17003105904","17","031",741,0,930,189
318,,,,G17003103803,"17003103803","170","0310",328638.431129,2425.62924506,G17003103803,"17003103803","17","031",18,4716,4755,4737
324,,,,G17003103813,"17003103813","170","0310",54614.5419883,1095.05603653,G17003103813,"17003103813","17","031",0,414,416,416
325,,,,G17003103811,"17003103811","170","0310",81850.4761063,1205.77389554,G17003103811,"17003103811","17","031",1,666,675,674
326,,,,G17003103815,"17003103815","170","0310",114379.925853,1488.01186361,G17003103815,"17003103815","17","031",1,1807,1826,1825
327,,,,G17003103814,"17003103814","170","0310",319513.613762,2791.35243225,G17003103814,"17003103814","17","031",16,3049,3098,3082
328,,,,G17003106105,"17003106105","170","0310",77712.6836395,1175.01867117,G17003106105,"17003106105","17","031",53,4,183,130
330,,,,G17003106303,"17003106303","170","0310",972840.173342,3991.15812586,G17003106303,"17003106303","17","031",2913,1,3111,198
332,,,,G17003105204,"17003105204","170","0310",709898.206921,3444.66020482,G17003105204,"17003105204","17","031",3479,4,3706,227
341,,,,G17003103601,"17003103601","170","0310",119345.080067,1527.73486184,G17003103601,"17003103601","17","031",30,992,1034,1004
345,,,,G17003103510,"17003103510","170","0310",821108.297194,3751.90963049,G17003103510,"17003103510","17","031",226,3225,3519,3293
346,,,,G17003103604,"17003103604","170","0310",584620.711989,3297.45587707,G17003103604,"17003103604","17","031",18,4096,4169,4151
347,,,,G17003103901,"17003103901","170","0310",482311.351981,3065.37192167,G17003103901,"17003103901","17","031",3,2082,2114,2111
348,,,,G17003103907,"17003103907","170","0310",689083.304851,3585.59008686,G17003103907,"17003103907","17","031",2866,3691,6969,4103
349,,,,G17003104101,"17003104101","170","0310",252147.693343,2578.9513018,G17003104101,"17003104101","17","031",880,742,1826,946
350,,,,G17003104109,"17003104109","170","0310",416132.780567,2929.75023373,G17003104109,"17003104109","17","031",2579,1121,4031,1452
351,,,,G17003103603,"17003103603","170","0310",367807.86082,2592.21150122,G17003103603,"17003103603","17","031",1,2573,2586,2585
352,,,,G17003105201,"17003105201","170","0310",2711249.03395,8585.65595585,G17003105201,"17003105201","17","031",1374,3,1807,433
353,,,,G17003104601,"17003104601","170","0310",2988846.70652,10796.9260242,G17003104601,"17003104601","17","031",1515,1649,5607,4092
380,,,,G17003103704,"17003103704","170","0310",455133.401318,2773.85377801,G17003103704,"17003103704","17","031",1,1337,1358,1357
381,,,,G17003104003,"17003104003","170","0310",1478748.18323,6110.04076827,G17003104003,"17003104003","17","031",11,3389,3424,3413
415,,,,G17003104302,"17003104302","170","0310",680852.15137,3277.60203823,G17003104302,"17003104302","17","031",372,6530,7023,6651
416,,,,G17003106717,"17003106717","170","0310",328224.454852,2411.0874038,G17003106717,"17003106717","17","031",17,3212,3247,3230
417,,,,G17003104303,"17003104303","170","0310",407518.289627,2681.58316408,G17003104303,"17003104303","17","031",17,4341,4393,4376
418,,,,G17003106716,"17003106716","170","0310",414247.522401,2883.79912265,G17003106716,"17003106716","17","031",28,4134,4203,4175
419,,,,G17003106610,"17003106610","170","0310",1129371.24747,4869.54446329,G17003106610,"17003106610","17","031",3055,2013,5606,2551
420,,,,G17003106609,"17003106609","170","0310",1974415.60136,6430.86716769,G17003106609,"17003106609","17","031",3376,0,3990,614
421,,,,G17003106010,"17003106010","170","0310",180761.616356,1795.80104967,G17003106010,"17003106010","17","031",1631,0,2080,449
433,,,,G17003104102,"17003104102","170","0310",67017.2032882,1151.36456952,G17003104102,"17003104102","17","031",618,756,1544,926
434,,,,G17003104104,"17003104104","170","0310",74046.0730119,1254.37866685,G17003104104,"17003104104","17","031",41,611,660,619
435,,,,G17003104103,"17003104103","170","0310",59545.4594794,1070.7782338,G17003104103,"17003104103","17","031",120,735,903,783
438,,,,G17003104106,"17003104106","170","0310",248676.922945,2068.01203024,G17003104106,"17003104106","17","031",1215,1160,2527,1312
439,,,,G17003104105,"17003104105","170","0310",266674.311458,2142.48201584,G17003104105,"17003104105","17","031",316,2719,3105,2789
440,,,,G17003105003,"17003105003","170","0310",731059.405631,3550.46912926,G17003105003,"17003105003","17","031",1509,5,2084,575
441,,,,G17003105902,"17003105902","170","0310",622669.385633,3342.88054374,G17003105902,"17003105902","17","031",2141,3,2592,451
444,,,,G17003106012,"17003106012","170","0310",85156.1222133,1229.87489758,G17003106012,"17003106012","17","031",897,0,1056,159
446,,,,G17003106601,"17003106601","170","0310",333927.089487,2476.82843072,G17003106601,"17003106601","17","031",68,59,156,88
447,,,,G17003106807,"17003106807","170","0310",325377.6381,2439.54503721,G17003106807,"17003106807","17","031",13,1968,2091,2078
448,,,,G17003104202,"17003104202","170","0310",264370.907691,2216.66573084,G17003104202,"17003104202","17","031",202,2085,2343,2141
449,,,,G17003104204,"17003104204","170","0310",245082.777787,2024.53077205,G17003104204,"17003104204","17","031",411,1789,2310,1899
450,,,,G17003106708,"17003106708","170","0310",341763.399208,2477.32447878,G17003106708,"17003106708","17","031",24,2542,2582,2558
452,,,,G17003106714,"17003106714","170","0310",455033.561289,3165.03817718,G17003106714,"17003106714","17","031",48,2933,3006,2958
453,,,,G17003106710,"17003106710","170","0310",319755.989631,2386.9539849,G17003106710,"17003106710","17","031",0,684,692,692
454,,,,G17003106713,"17003106713","170","0310",478729.255606,3203.48417968,G17003106713,"17003106713","17","031",57,4846,4943,4886
455,,,,G17003106712,"17003106712","170","0310",230474.055382,1978.12755358,G17003106712,"17003106712","17","031",24,2592,2642,2618
456,,,,G17003106711,"17003106711","170","0310",244614.116903,2008.41607461,G17003106711,"17003106711","17","031",22,2268,2325,2303
457,,,,G17003106607,"17003106607","170","0310",501971.214557,3275.28131286,G17003106607,"17003106607","17","031",235,2687,2999,2764
458,,,,G17003106605,"17003106605","170","0310",630824.787225,3206.46607267,G17003106605,"17003106605","17","031",3486,0,3771,285
459,,,,G17003104207,"17003104207","170","0310",634252.255749,3207.31454028,G17003104207,"17003104207","17","031",28,5729,5808,5780
460,,,,G17003106606,"17003106606","170","0310",666504.719489,4023.6235552,G17003106606,"17003106606","17","031",4591,0,5549,958
461,,,,G17003106811,"17003106811","170","0310",645508.470395,3227.53917644,G17003106811,"17003106811","17","031",50,6822,6927,6877
462,,,,G17003106715,"17003106715","170","0310",731080.009902,4421.86642327,G17003106715,"17003106715","17","031",79,5512,5640,5561
463,,,,G17003106905,"17003106905","170","0310",328462.1794,2786.98117547,G17003106905,"17003106905","17","031",2,1354,1376,1374
464,,,,G17003104304,"17003104304","170","0310",534040.552471,3107.75377471,G17003104304,"17003104304","17","031",40,3965,4114,4074
465,,,,G17003106504,"17003106504","170","0310",1120494.44362,4477.6515683,G17003106504,"17003106504","17","031",4743,0,4883,140
466,,,,G17003106911,"17003106911","170","0310",668478.96277,3440.07131145,G17003106911,"17003106911","17","031",11,5152,5206,5195
467,,,,G17003104305,"17003104305","170","0310",332821.773687,2521.4727459,G17003104305,"17003104305","17","031",64,5818,5959,5895
468,,,,G17003106611,"17003106611","170","0310",1296652.81884,4831.79832204,G17003106611,"17003106611","17","031",4699,0,5145,446
469,,,,G17003104306,"17003104306","170","0310",328717.137856,2446.38018207,G17003104306,"17003104306","17","031",123,2576,2778,2655
470,,,,G17003106718,"17003106718","170","0310",326703.790559,2409.39215437,G17003106718,"17003106718","17","031",13,2567,2589,2576
471,,,,G17003104313,"17003104313","170","0310",807282.650749,4131.57167935,G17003104313,"17003104313","17","031",221,12233,12811,12590
476,,,,G17003107301,"17003107301","170","0310",667229.115699,3279.02947278,G17003107301,"17003107301","17","031",11,3103,3144,3133
477,,,,G17003107201,"17003107201","170","0310",1981758.37952,5794.19546862,G17003107201,"17003107201","17","031",3522,522,4104,582
483,,,,G17003106915,"17003106915","170","0310",668991.704121,3613.51619228,G17003106915,"17003106915","17","031",52,2756,2864,2812
494,,,,G17003108258,"17003108258","170","0310",5832627.60565,12078.368836,G17003108258,"17003108258","17","031",13829,625,15246,1417
497,,,,G17003104503,"17003104503","170","0310",1362310.18443,5523.87754267,G17003104503,"17003104503","17","031",130,4860,5048,4918
498,,,,G17003104404,"17003104404","170","0310",1648947.141,5791.07994942,G17003104404,"17003104404","17","031",41,4384,4454,4413
499,,,,G17003107110,"17003107110","170","0310",647217.508989,3254.25210119,G17003107110,"17003107110","17","031",45,4607,4707,4662
500,,,,G17003104801,"17003104801","170","0310",671867.002474,4130.16898497,G17003104801,"17003104801","17","031",80,2961,3097,3017
501,,,,G17003104802,"17003104802","170","0310",296616.616114,2300.66562456,G17003104802,"17003104802","17","031",25,1618,1694,1669
502,,,,G17003107114,"17003107114","170","0310",758310.604797,5160.65639895,G17003107114,"17003107114","17","031",36,3587,3654,3618
503,,,,G17003104407,"17003104407","170","0310",327363.962558,2390.49168155,G17003104407,"17003104407","17","031",34,1879,1937,1903
504,,,,G17003104701,"17003104701","170","0310",1598866.92599,5590.45695634,G17003104701,"17003104701","17","031",327,3470,3942,3615
505,,,,G17003104901,"17003104901","170","0310",353258.643075,3306.03843778,G17003104901,"17003104901","17","031",6,744,763,757
506,,,,G17003108216,"17003108216","170","0310",3578425.98491,9581.66922527,G17003108216,"17003108216","17","031",4805,0,4958,153
507,,,,G17003107113,"17003107113","170","0310",356418.011899,2645.30493489,G17003107113,"17003107113","17","031",59,1778,1865,1806
508,,,,G17003104803,"17003104803","170","0310",441596.639071,3164.79269296,G17003104803,"17003104803","17","031",84,2170,2332,2248
509,,,,G17003104408,"17003104408","170","0310",279335.091945,3594.01047713,G17003104408,"17003104408","17","031",27,2199,2252,2225
510,,,,G17003108220,"17003108220","170","0310",1232330.55898,4821.18205685,G17003108220,"17003108220","17","031",5258,1,5324,66
512,,,,G17003107115,"17003107115","170","0310",630910.350869,3200.85790241,G17003107115,"17003107115","17","031",38,3314,3394,3356
520,,,,G17003106810,"17003106810","170","0310",642169.026461,3229.07841059,G17003106810,"17003106810","17","031",40,6107,6213,6173
523,,,,G17003106608,"17003106608","170","0310",639763.346333,4022.66859325,G17003106608,"17003106608","17","031",4088,1,4855,767
543,,,,G17003106001,"17003106001","170","0310",166943.770342,1606.67247068,G17003106001,"17003106001","17","031",185,0,265,80
544,,,,G17003106006,"17003106006","170","0310",392806.323516,2978.74872302,G17003106006,"17003106006","17","031",2132,4,2579,447
545,,,,G17003106009,"17003106009","170","0310",384290.860806,3094.15913195,G17003106009,"17003106009","17","031",2788,2,3900,1112
546,,,,G17003106008,"17003106008","170","0310",627942.313638,4470.52094358,G17003106008,"17003106008","17","031",3190,1,4136,946
547,,,,G17003105901,"17003105901","170","0310",359231.580026,2843.09841411,G17003105901,"17003105901","17","031",93,0,183,90
549,,,,G17003108217,"17003108217","170","0310",1551988.96888,6465.75647904,G17003108217,"17003108217","17","031",5217,47,5308,91
595,,,,G17003106014,"17003106014","170","0310",758494.993778,3415.43104277,G17003106014,"17003106014","17","031",628,0,864,236
599,,,,G17003104108,"17003104108","170","0310",238591.457249,2179.14677782,G17003104108,"17003104108","17","031",1727,1489,3565,1838
640,,,,G17003105905,"17003105905","170","0310",591563.389403,3337.0410899,G17003105905,"17003105905","17","031",1200,2,1581,381
641,,,,G17003106904,"17003106904","170","0310",658927.568831,3241.58211944,G17003106904,"17003106904","17","031",30,4855,4907,4877
642,,,,G17003107002,"17003107002","170","0310",1548761.52178,7099.05277969,G17003107002,"17003107002","17","031",5230,0,5493,263
643,,,,G17003105001,"17003105001","170","0310",2621691.14699,6426.55187255,G17003105001,"17003105001","17","031",123,5612,5800,5677
694,,,,G1700310826402,"1700310826402","170","0310",2047969.08757,7664.21495962,G1700310826402,"1700310826402","17","031",5339,330,6027,688
705,,,,G17003104314,"17003104314","170","0310",1073377.17469,5267.81941787,G17003104314,"17003104314","17","031",864,6762,8022,7158
713,,,,G17003104311,"17003104311","170","0310",671396.982366,3336.23566128,G17003104311,"17003104311","17","031",69,5748,5956,5887
714,,,,G17003104502,"17003104502","170","0310",1562928.49778,5074.89302032,G17003104502,"17003104502","17","031",232,7784,8189,7957
717,,,,G1700310826302,"1700310826302","170","0310",2888907.40881,7484.96490269,G1700310826302,"1700310826302","17","031",7628,66,7980,352
728,,,,G17003107107,"17003107107","170","0310",485387.815225,3601.98156153,G17003107107,"17003107107","17","031",47,4771,4869,4822
729,,,,G17003107103,"17003107103","170","0310",326558.956952,2457.66921204,G17003107103,"17003107103","17","031",7,2001,2032,2025
730,,,,G17003107001,"17003107001","170","0310",2363601.72743,7358.66635969,G17003107001,"17003107001","17","031",3074,0,3283,209
731,,,,G17003104605,"17003104605","170","0310",1270958.92743,5454.15041331,G17003104605,"17003104605","17","031",286,7699,8141,7855
732,,,,G17003107108,"17003107108","170","0310",804042.47098,3589.68827285,G17003107108,"17003107108","17","031",35,6769,6892,6857
733,,,,G17003107106,"17003107106","170","0310",243055.902215,2029.7889945,G17003107106,"17003107106","17","031",10,2579,2603,2593
734,,,,G17003104403,"17003104403","170","0310",1280976.36386,4846.2111615,G17003104403,"17003104403","17","031",74,5487,5640,5566
735,,,,G17003107109,"17003107109","170","0310",987374.15239,4959.42071972,G17003107109,"17003107109","17","031",36,3028,3098,3062
736,,,,G17003107105,"17003107105","170","0310",748619.126776,3643.16530432,G17003107105,"17003107105","17","031",63,5591,5699,5636
743,,,,G17003106802,"17003106802","170","0310",1301337.19336,4903.60646435,G17003106802,"17003106802","17","031",61,6709,6834,6773
744,,,,G17003106812,"17003106812","170","0310",786561.891139,3838.17657519,G17003106812,"17003106812","17","031",24,5955,6017,5993
745,,,,G17003106903,"17003106903","170","0310",511324.341472,3211.380259,G17003106903,"17003106903","17","031",12,3152,3187,3175
746,,,,G17003106813,"17003106813","170","0310",724812.122205,3691.01762096,G17003106813,"17003106813","17","031",12,4837,4901,4889
747,,,,G17003106809,"17003106809","170","0310",983390.19262,4031.66214627,G17003106809,"17003106809","17","031",30,6519,6624,6594
778,,,,G17003106914,"17003106914","170","0310",654744.557863,3208.53531215,G17003106914,"17003106914","17","031",31,4426,4502,4471
779,,,,G17003107102,"17003107102","170","0310",761503.136498,3648.21305764,G17003107102,"17003107102","17","031",42,5805,5899,5857
780,,,,G17003104312,"17003104312","170","0310",683204.654618,3294.53712095,G17003104312,"17003104312","17","031",118,4215,4399,4281
781,,,,G17003104310,"17003104310","170","0310",316504.170783,2626.26461413,G17003104310,"17003104310","17","031",23,1513,1558,1535
782,,,,G17003106912,"17003106912","170","0310",1013703.43872,4157.50801199,G17003106912,"17003106912","17","031",27,3837,3895,3868
801,,,,G17003106122,"17003106122","170","0310",672774.457337,3266.70845922,G17003106122,"17003106122","17","031",24,2438,2527,2503
802,,,,G17003103703,"17003103703","170","0310",449618.581821,2761.58308094,G17003103703,"17003103703","17","031",1,1156,1164,1163
803,,,,G17003105907,"17003105907","170","0310",879462.566722,3991.81377933,G17003105907,"17003105907","17","031",1960,0,2296,336
804,,,,G17003106102,"17003106102","170","0310",1652903.40399,6472.8341999,G17003106102,"17003106102","17","031",159,0,772,613
805,,,,G17003105807,"17003105807","170","0310",532353.221619,3307.95461527,G17003105807,"17003105807","17","031",3297,6,3725,428
806,,,,G17003105906,"17003105906","170","0310",344401.090034,2634.31094218,G17003105906,"17003105906","17","031",2911,0,3297,386
807,,,,G17003106103,"17003106103","170","0310",2404816.61272,6415.33994705,G17003106103,"17003106103","17","031",1750,3,4654,2904
809,,,,G17003103905,"17003103905","170","0310",332220.005246,2454.86130417,G17003103905,"17003103905","17","031",326,1521,1926,1600
810,,,,G17003103820,"17003103820","170","0310",328684.831536,2448.50107591,G17003103820,"17003103820","17","031",13,3681,3713,3700
811,,,,G17003106112,"17003106112","170","0310",326288.580219,2452.29360338,G17003106112,"17003106112","17","031",1641,1,3150,1509
812,,,,G17003103906,"17003103906","170","0310",332063.15319,2425.02710409,G17003103906,"17003103906","17","031",902,822,1875,973
813,,,,G17003103819,"17003103819","170","0310",174310.930417,1681.76248066,G17003103819,"17003103819","17","031",11,1787,1819,1808
814,,,,G17003104206,"17003104206","170","0310",250381.490767,2058.43979096,G17003104206,"17003104206","17","031",11,3300,3339,3328
815,,,,G17003104008,"17003104008","170","0310",497325.133026,2854.76597803,G17003104008,"17003104008","17","031",13,7555,7656,7643
816,,,,G17003106806,"17003106806","170","0310",333670.99083,2464.48980518,G17003106806,"17003106806","17","031",13,3030,3057,3044
817,,,,G17003106706,"17003106706","170","0310",338311.342939,2465.69628485,G17003106706,"17003106706","17","031",33,3422,3479,3446
818,,,,G17003106603,"17003106603","170","0310",655359.248186,3277.08694188,G17003106603,"17003106603","17","031",4567,1,5194,627
820,,,,G17003104203,"17003104203","170","0310",243397.286107,2022.90620596,G17003104203,"17003104203","17","031",305,1883,2240,1935
821,,,,G17003104205,"17003104205","170","0310",240995.780169,2017.31995857,G17003104205,"17003104205","17","031",17,3699,3756,3739
822,,,,G17003106602,"17003106602","170","0310",651596.300351,3215.18591275,G17003106602,"17003106602","17","031",3899,1,5420,1521
823,,,,G17003106604,"17003106604","170","0310",645155.526124,3258.6432999,G17003106604,"17003106604","17","031",3634,0,3883,249
829,,,,G17003107004,"17003107004","170","0310",2630359.18551,6480.05463754,G17003107004,"17003107004","17","031",8703,1,8975,272
830,,,,G17003107005,"17003107005","170","0310",3398931.59565,7764.03372176,G17003107005,"17003107005","17","031",9680,1081,11162,1482
831,,,,G17003104402,"17003104402","170","0310",1299837.96577,4857.35464407,G17003104402,"17003104402","17","031",47,9984,10160,10113
832,,,,G17003104401,"17003104401","170","0310",1057658.71787,4831.38184735,G17003104401,"17003104401","17","031",45,10297,10463,10418
833,,,,G17003107111,"17003107111","170","0310",652635.859642,3252.16714059,G17003107111,"17003107111","17","031",49,3755,3843,3794
834,,,,G17003104604,"17003104604","170","0310",681061.317689,4067.92121002,G17003104604,"17003104604","17","031",325,4129,4740,4415
835,,,,G17003107112,"17003107112","170","0310",1105848.85325,4184.24865356,G17003107112,"17003107112","17","031",153,6596,6835,6682
836,,,,G17003104603,"17003104603","170","0310",1134251.13532,4786.26313439,G17003104603,"17003104603","17","031",1774,4879,10285,8511
847,,,,G17003106110,"17003106110","170","0310",560390.337545,3208.46711389,G17003106110,"17003106110","17","031",241,1050,1700,1459
848,,,,G17003103904,"17003103904","170","0310",329117.034584,2454.88862698,G17003103904,"17003103904","17","031",87,3275,3409,3322
849,,,,G17003103812,"17003103812","170","0310",255333.402323,2051.53869281,G17003103812,"17003103812","17","031",7,2823,2837,2830
853,,,,G17003107101,"17003107101","170","0310",214495.361876,1920.2669255,G17003107101,"17003107101","17","031",19,1819,1854,1835
854,,,,G17003106913,"17003106913","170","0310",655392.04836,3242.07153758,G17003106913,"17003106913","17","031",22,2763,2819,2797
855,,,,G17003107104,"17003107104","170","0310",975481.656749,4044.281402,G17003107104,"17003107104","17","031",99,7708,7888,7789
